model,perturbation,num_pairs,delta_visual_ratio_mean,delta_visual_ratio_std,delta_iou_mean,delta_iou_std,delta_success_mean,delta_success_std,vci_mean,gri_mean,delta_ratio_early_mean,delta_ratio_mid_mean,delta_ratio_late_mean,delta_iou_early_mean,delta_iou_mid_mean,delta_iou_late_mean
DreamZero,empty,180,0.010646729574297232,0.013207231896858617,,,-0.03888888888888889,0.5514011333653053,0.010646729574297232,,0.010155907305639906,0.011546737497761337,0.010199959205114703,,,
DreamZero,opposite,180,0.009659229837074151,0.01363697890932878,,,0.0,0.5676462121975467,0.009659229837074151,,0.00874493101701372,0.010110963211677353,0.010198469116395494,,,
DreamZero,random,180,0.010100358211424066,0.013214837746456489,,,-0.03333333333333333,0.5859465277082315,0.010100358211424066,,0.009883383095385943,0.010530831986017978,0.009910792108866829,,,
DreamZero,shuffle,180,-0.0005646130342349077,0.013055483575551937,,,-0.011111111111111112,0.5576626707257601,-0.0005646130342349077,,-0.0006613589807636322,-0.0006898434290762972,-0.000361323642158842,,,
DreamZero,synonym,180,-0.010769425792638029,0.01341658672014748,,,0.011111111111111112,0.5476098457934048,-0.010769425792638029,,-0.01128672177857935,-0.011153847655467383,-0.009807054003747597,,,
pi0.5,empty,30,0.0037499597689451786,0.12181730631128733,,,0.0,0.0,0.0037499597689451786,,-0.07479186432474609,0.0090610971594244,0.0797972113453577,,,
pi0.5,opposite,20,-0.022561616901354282,0.11207133115401911,,,0.0,0.0,-0.022561616901354282,,-0.058908989709054525,-0.0367960222101258,0.029965614219597165,,,
pi0.5,shuffle,30,-0.01472040154827293,0.12519323745867647,,,0.0,0.0,-0.01472040154827293,,-0.039329076847582085,-0.004598132448472201,0.00032317412044732634,,,
pi0.5,synonym,20,-0.01736701949435327,0.11429565636811999,,,0.0,0.0,-0.01736701949435327,,-0.06099641283013224,-0.025619005690674768,0.03650979771205872,,,
