model,suite,task_id,episode_id,task_description,perturbation,clean_success,corrupt_success,clean_ratio,corrupt_ratio,clean_iou,corrupt_iou,delta_success,delta_visual_ratio,delta_iou,vci,gri,delta_ratio_early,delta_iou_early,delta_ratio_mid,delta_iou_mid,delta_ratio_late,delta_iou_late,delta_ratio_slope,delta_iou_slope
DreamZero,libero_90_act,0,0,pick up the alphabet soup and put it in the basket,empty,1.0,0.0,0.5522312143404031,0.5649944972953295,,,-1.0,0.012763282954926347,,0.012763282954926347,,0.02766993977986454,,0.004537012322208267,,0.0055645004375149965,,-0.022105439342349542,
DreamZero,libero_90_act,0,0,pick up the alphabet soup and put it in the basket,random,1.0,0.0,0.5522312143404031,0.5763126512880513,,,-1.0,0.024081436947648194,,0.024081436947648194,,0.033084857985820615,,0.0343506766945918,,0.004921291513445336,,-0.02816356647237528,
DreamZero,libero_90_act,0,0,pick up the alphabet soup and put it in the basket,synonym,1.0,1.0,0.5522312143404031,0.5316783503072072,,,0.0,-0.020552864033195894,,-0.020552864033195894,,-0.010602633383375082,,-0.026738548137393958,,-0.02429096882896442,,-0.013688335445589339,
DreamZero,libero_90_act,0,0,pick up the alphabet soup and put it in the basket,shuffle,1.0,1.0,0.5522312143404031,0.5517374700782817,,,0.0,-0.0004937442621214538,,-0.0004937442621214538,,0.005444589209769868,,-0.0004669042271573387,,-0.006458917768976891,,-0.011903506978746758,
DreamZero,libero_90_act,0,0,pick up the alphabet soup and put it in the basket,opposite,1.0,0.0,0.5522312143404031,0.5703225365462199,,,-1.0,0.018091322205816773,,0.018091322205816773,,0.025522376452990714,,0.017618332075995502,,0.011367427726050927,,-0.014154948726939787,
DreamZero,libero_90_act,0,1,pick up the alphabet soup and put it in the basket,empty,0.0,1.0,0.570316133080174,0.5549622186781716,,,1.0,-0.0153539144020024,,-0.0153539144020024,,-0.029408481347327764,,-0.007637022528935722,,-0.00798294453534143,,0.021425536811986334,
DreamZero,libero_90_act,0,1,pick up the alphabet soup and put it in the basket,random,0.0,1.0,0.570316133080174,0.5641750213232226,,,1.0,-0.006141111756951423,,-0.006141111756951423,,-0.027248124438794874,,-0.0008583857158497299,,0.012018302003540704,,0.03926642644233558,
DreamZero,libero_90_act,0,1,pick up the alphabet soup and put it in the basket,synonym,0.0,0.0,0.570316133080174,0.5535463532456893,,,0.0,-0.016769779834484688,,-0.016769779834484688,,-0.030783086462884968,,-0.009658512076768933,,-0.008698772457331638,,0.02208431400555333,
DreamZero,libero_90_act,0,1,pick up the alphabet soup and put it in the basket,shuffle,0.0,0.0,0.570316133080174,0.5623265491653687,,,0.0,-0.00798958391480531,,-0.00798958391480531,,-0.012792088067151375,,-0.016275352364032325,,0.007091814051622181,,0.019883902118773555,
DreamZero,libero_90_act,0,1,pick up the alphabet soup and put it in the basket,opposite,0.0,0.0,0.570316133080174,0.575020874383511,,,0.0,0.004704741303336979,,0.004704741303336979,,-0.008743468157589196,,0.01805733896678474,,0.005928981706862735,,0.01467244986445193,
