model,suite,prompt_mode,task_id,episode_id,prompt_used,success,ratio_mean,iou_mean,sources
DreamZero,libero_90_act,original,1,0,,1.0,0.5470425723149399,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,random,1,0,,0.0,0.582132400055955,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_random/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,shuffle,1,0,,0.0,0.5639623467022716,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_shuffle/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,synonym,1,0,,0.0,0.5575488344522285,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_synonym/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,empty,1,1,,0.0,0.5769648911711451,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_empty/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,opposite,1,1,,0.0,0.5677364856960794,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_opposite/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,original,1,1,,0.0,0.566841813699175,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,random,1,1,,0.0,0.5728579124166037,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_random/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,shuffle,1,1,,1.0,0.5526542984941406,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_shuffle/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,synonym,1,1,,1.0,0.5381673069495587,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_synonym/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
