model,perturbation,num_pairs,delta_visual_ratio_mean,delta_visual_ratio_std,delta_iou_mean,delta_iou_std,delta_success_mean,delta_success_std,vci_mean,gri_mean,delta_ratio_early_mean,delta_ratio_mid_mean,delta_ratio_late_mean,delta_iou_early_mean,delta_iou_mid_mean,delta_iou_late_mean
DreamZero,empty,220,0.011541679909469835,0.012982935468383519,-0.0034021912913870574,0.05349255265259239,-0.06363636363636363,0.5355926662420158,0.011541679909469835,-0.031034564031174484,0.011352837197802917,0.011657862115430519,0.011567072851518223,0.00012809684719725833,-0.0037038042217034197,-0.006817563386523317
DreamZero,opposite,220,0.010483013854850298,0.013228143323333249,-0.011107815037606656,0.0652038710684644,-0.022727272727272728,0.5430819611522055,0.010483013854850298,-0.04349865733009367,0.009762712665499983,0.01015991885859027,0.01159905678834609,-0.007510004608483472,-0.011326187851004307,-0.014699954033010136
DreamZero,random,220,0.011814449849601486,0.013825116814216207,-0.008647431975434331,0.06185550700829821,-0.08181818181818182,0.5820312110003315,0.011814449849601486,-0.038511669195345356,0.01174736818629332,0.011475039339765335,0.012245363381277598,-0.004985245308728991,-0.008787913607448322,-0.012372113742255619
DreamZero,shuffle,220,0.0001434683307697809,0.012639222811683226,-0.006613042340623137,0.058265331836773945,-0.022727272727272728,0.5260762286466738,0.0001434683307697809,-0.04688508468218869,6.897126296144857e-05,-0.00035778752178174035,0.0006993801613211564,-0.003082473847830614,-0.0069253685243204815,-0.010026076163661442
DreamZero,synonym,220,-0.010161929420681875,0.012527834756240922,0.0015392952109757143,0.062176470602111816,0.00909090909090909,0.5044430690547304,-0.010161929420681875,-0.059083267577612404,-0.010285896969318154,-0.011419674856290613,-0.00874297778111095,0.0016572193242646931,0.0016247720024150233,0.0013057593582308851
